Country Name,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,336.45,340.783333333333,345.627777777778,349.033333333333,350.133333333333,348.027777777778,343.544444444444,339.288888888889,339.072222222222,345.288888888889,359.016666666667,379.111111111111,402.75,426.138888888889,446.244444444444,462.283333333333,474.722222222222,484.888888888889,494.494444444444,504.811111111111,516.066666666667,527.733333333333,538.977777777778,548.577777777778,555.711111111111,560.166666666667,562.366666666667,563.122222222222,563.622222222222,564.805555555556,566.944444444444,569.805555555556,573.138888888889,576.533333333333,579.661111111111,582.583333333333,585.338888888889,588.033333333333,,
Africa Eastern and Southern,AFE,15.8383387392073,16.3080062707238,16.7916423026518,17.2912898092092,17.8076930065681,18.3415022549421,18.8919482332128,19.4562832016201,20.0314896944847,20.6150187138993,21.2068920490625,21.8074740938721,22.5704425576986,23.1914398451287,23.8200252821206,24.4569373047566,25.1033241068793,25.761348601705,26.4344848727744,27.125026446145,27.8342388423738,28.5633806323517,29.3144159143399,29.8273220656493,30.6224124685808,31.4448609340856,32.294933585063,33.1733972869471,34.0805521014316,35.015247001629,35.979974459829,36.97425033352,37.9952788590134,39.0403845483589,40.1070666643487,41.1951136795646,42.3037088730392,43.4313671607254,,
Afghanistan,AFG,20.1753499984683,19.7324357442637,19.2043194559324,18.6936035290874,18.2860092516006,17.9765600588181,17.7749257114849,17.7955580063107,18.1798134362651,19.0122093557577,20.3703948779218,22.1878243421254,24.2266351131943,26.1552675918267,27.7404987286708,28.8782342309224,29.6497350121006,30.2327757865392,30.8961293386025,31.8291165027724,33.0959041754741,34.6181018901449,36.272510185951,37.8744125846276,39.2952149005912,40.4880954569127,41.5104953588825,42.4628266397084,43.4929479520877,44.7040881659161,46.131499862145,47.7305670434703,49.4280427656772,51.1147933707073,52.7120715007812,54.1969610636277,55.5955503477009,56.9370492908127,,
Africa Western and Central,AFW,17.7125231876079,18.2062535237426,18.7136346451052,19.2345879515089,19.7690583896579,20.317276343223,20.8791908492137,21.4542116876599,22.0415246667507,22.6408187022015,23.2519768333963,23.875925127518,24.514724656138,25.1710892814108,25.8471493889969,26.5443310582393,27.2628507436617,28.0022629336553,28.7615161987137,29.5402435168664,30.3383338971321,31.1573440875193,32.0005052079533,32.8720240819476,33.7749301884415,34.7107130617813,35.6786983543708,36.6770284044051,37.702722927155,38.7536382711054,39.8291179975635,40.9299161598005,42.0569476595716,43.2116389078664,44.3949168562578,45.6070453846987,46.8472514255266,48.1140798250676,,
Angola,AGO,6.9306793935991,7.18133552578808,7.44213042432021,7.71216491537659,7.99068982112778,8.27794657896848,8.57403304724473,8.87787839897329,9.18808374107644,9.50379802679073,9.8250589556429,10.1526919066335,10.4877227881607,10.8315978182402,11.1856942327745,11.5510724312184,11.9287494986765,12.3202053421032,12.7270963343226,13.1511005053341,13.5924865645304,14.0526333520494,14.5355554664314,15.0462324536777,15.588035614021,16.1625932461699,16.7685569904548,17.4024512713564,18.0590960134756,18.7344565653325,19.4278174380364,20.1395083019171,20.8677195796904,21.610470040908,22.3665516964787,23.1350621641133,23.9165549049491,24.7130721103714,,
Albania,ALB,99.491094890511,101.61598540146,103.794160583942,106.001058394161,108.20299270073,110.315145985401,112.540328467153,114.683795620438,117.808138686131,119.946788321168,119.225912408759,118.505072992701,117.784197080292,117.063357664234,116.342481751825,115.621642335766,114.900766423358,114.179927007299,113.459051094891,112.738211678832,111.685145985401,111.350729927007,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.314635036496,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,,
Andorra,AND,79.7829787234043,83.2234042553192,86.9234042553192,90.863829787234,94.8787234042553,98.9787234042553,103.104255319149,107.304255319149,111.6,115.974468085106,120.565957446809,125.28085106383,129.731914893617,133.353191489362,135.872340425532,136.942553191489,136.846808510638,136.468085106383,136.953191489362,139.127659574468,143.285106382979,149.03829787234,155.702127659574,162.234042553192,167.810638297872,172.329787234043,175.91914893617,178.425531914894,179.704255319149,179.689361702128,178.187234042553,175.376595744681,171.851063829787,168.53829787234,165.942553191489,164.457446808511,163.823404255319,163.846808510638,,
Arab World,ARB,12.371647908157,12.7626159159209,13.1595151329987,13.5626213532966,13.9719779543917,14.3866393051029,14.8056023992016,15.2287860951022,15.6563137455116,16.232208019404,16.6753373084923,16.9833074135689,17.4416458896862,17.89409413684,18.4523789978325,18.8820449372802,19.3064323071616,19.7258899501723,20.1500441750295,20.5838435176772,21.0276801983248,21.4820905671733,21.9525082922034,22.4445543782608,22.9623724485446,23.5081035468467,24.0794892901563,24.6703709592362,25.2752312605994,25.877609415773,27.759609742991,28.3925740934146,29.0243065180401,29.6517128144983,30.2730437090691,30.8859517234958,31.4898410513152,32.0944482828858,,
United Arab Emirates,ARE,15.4407490847649,16.401239087581,17.2973387778091,18.219797240214,19.236341875528,20.3658969304421,21.5928752464095,22.9099971838919,24.2984511405238,25.7453815826528,27.2762461278513,28.9058293438468,30.5989157983667,32.3060687130386,34.0058997465503,35.7521965643481,37.614207265559,39.6115742044495,41.763292030414,44.1293579273444,46.5041115178823,48.9829484652211,52.265995494227,57.287764010138,64.6046465784286,74.6292875246409,86.8606871303858,99.8237961137708,111.480822303576,120.388594762039,125.975471698113,128.718642635877,129.511517882287,129.740664601521,130.426584060828,131.807589411433,133.584990143622,135.609208673613,,
Argentina,ARG,10.3550325393084,10.5216703389861,10.6924967753016,10.8660816533842,11.0411789424451,11.2175525909036,11.3949373147854,11.5719862315425,11.7470875400575,11.9190145760024,12.0872301941396,12.251778608465,12.4128428868451,12.570904632969,12.7263840624989,12.8791993247317,13.0294034033815,13.1777625525726,13.3253010023057,13.4727703905082,13.6207038429636,13.7690944169782,13.9174937607109,14.0651553519032,14.2116659175866,14.3567141327662,14.5008397005141,14.6454874318977,14.792609320018,14.904301546759,15.0771515955406,15.2495426957383,15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267,16.2585100979651,,
