Country Name,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,6.98565225287698,7.10734371179395,7.19441809617209,7.26971799605322,7.31761495255926,7.38139326990614,7.45556579819837,7.53286727025655,7.60912308297287,7.65579494440779,7.39221936801709,7.17373781783542,7.01616462539998,6.92959582790091,6.91200637418455,6.98677884615385,7.09061333395747,7.22985437171305,7.39059603393068,7.58037709266618,7.75797110809705,7.95540677109651,8.16764072275993,8.38287572034799,8.59133668562746,8.91861871987623,9.22921894449823,9.54833362931392,9.89108471736238,10.2882884655106,10.5834623601121,10.9204368174727,11.2980932347153,11.7071713531328,12.1371273037445,12.6048897703868,13.0734772127631,13.5509471396854,14.0583554376658,14.6057733735459
Africa Eastern and Southern,AFE,3.05273230423265,3.04498615619358,3.0327008323665,3.01722281683552,2.99936977329682,3.00712180376647,3.01087522424363,3.01140872599463,3.00988378497691,3.00750523052177,3.0196817841034,3.02880987912341,3.0357099862181,3.04175008272604,3.04815778609056,3.06069323807325,3.06858310602817,3.07121197976898,3.06685358625049,3.05452239208403,3.05343887389146,3.04386202138115,3.02802025477004,3.00809108514977,2.98553060226629,2.99067265019535,2.99169387513584,2.98958611833049,2.98542937132303,2.98031401697267,2.99473977527128,3.00804127118225,3.02080838982705,3.03352733423422,3.046899470973,3.07466767622206,3.10079593685997,3.12638408580659,3.15250911846087,3.18006852692482
Afghanistan,AFG,2.45275600145859,2.44684894145,2.4133714795262,2.34673998295026,2.23939807381476,2.27144626884099,2.29474100381799,2.30277917766432,2.28527939079662,2.23254208645161,2.24233114372288,2.25936253973444,2.28341066662671,2.3178808140936,2.36831827801719,2.36938230413903,2.35894006165998,2.34152651022038,2.31928817653837,2.2919445486715,2.27186686085076,2.25584792022573,2.24314806663995,2.23342523405079,2.22748822740161,2.25182119550416,2.27063774679586,2.28716790785865,2.3055901090104,2.32813156201124,2.354461852351,2.38629385300572,2.42020745910337,2.45157487112833,2.47866228944409,2.51992254366443,2.5542514703985,2.58492693988024,2.61579421390507,2.6490696522272
Africa Western and Central,AFW,2.99481355175516,3.00882231978884,3.01684993832682,3.01953534468609,3.01781800953872,3.03339525303918,3.0424266818537,3.04563208782584,3.04351678040909,3.03692931692326,3.04447167399566,3.04457266089177,3.03844169988779,3.02694287345908,3.01088495816744,3.00767774451091,2.99695397405231,2.98010523767457,2.95839525239425,2.93290076463381,2.92612200645167,2.91175137132415,2.89122617115445,2.86611412729882,2.83768457358019,2.84024883279451,2.8371974960905,2.82847987610035,2.81370822061254,2.79347473741379,2.79797095425204,2.79534389979172,2.78748552809325,2.77632806855857,2.76344659173313,2.77326132145525,2.77930903143514,2.78285693678526,2.78495046452943,2.78664758406628
Angola,AGO,2.5737213102194,2.58128326417549,2.58339642098982,2.57645697435421,2.55967754256501,2.5452342518409,2.52096264939074,2.49469418732297,2.47529916994456,2.46696891880464,2.48174101496942,2.49965119125101,2.51717603505731,2.53039397139179,2.53790442392891,2.55663623462134,2.56698519389681,2.57091964823826,2.57058906832848,2.5668792843,2.57473362204677,2.5769065260562,2.57132433837216,2.55473555620772,2.52635615363534,2.50370957157556,2.4705287346601,2.43205153626762,2.3944268973102,2.36075609068341,2.34742974190506,2.33600291477621,2.32278246807198,2.303043908125,2.27586188841703,2.26101845787304,2.23919656477835,2.21637364776329,2.19934175001363,2.19146242080635
Albania,ALB,5.32665747420741,5.35101378896345,5.37149136111971,5.38620727650871,5.39463617530825,5.40777054948867,5.41125554978825,5.41684616915398,5.44116270325437,5.49497835258072,5.64877095593671,5.82749979512528,6.02591575673378,6.23059959275631,6.43248046217462,6.56378481298609,6.68259912405896,6.79748042390704,6.92084438547832,7.05816071171207,7.31458949472538,7.59225215893995,7.88714515576056,8.19117057855797,8.50071756927054,8.90555435303904,9.3216607262101,9.75059596799923,10.1923346007195,10.645405412373,11.0149860410737,11.3875109124751,11.7707892099635,12.1806922958735,12.6265476059094,12.956211080924,13.329073296329,13.7447359109736,14.2026306207364,14.7045813168893
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,3.60865616103063,3.59976376458797,3.59004207847726,3.58101605045969,3.57417173658588,3.58038242617115,3.58842890722911,3.599562234882,3.61493013984903,3.62189743502136,3.65945688733998,3.71629147204068,3.75434770918596,3.79442828444875,3.82149852944952,3.86714393342388,3.90949650407937,3.94910507384219,3.98529538329261,4.01808494040061,4.04671333350527,4.07143917166199,4.09157760738732,4.10522552267111,4.11244786812704,4.12140610410714,4.12261935506002,4.12129689431802,4.12342216120343,4.13305104531383,4.15269834224455,4.17525331194269,4.20420000139442,4.24490752340459,4.30104733107769,4.37456206384353,4.46157416620151,4.55790761331772,4.65783750219564,4.75913201944706
United Arab Emirates,ARE,1.4094345300517,1.34649031684246,1.2831523070774,1.23820394738367,1.21698419809042,1.19069677401513,1.18308275775724,1.18802802098993,1.19604955956518,1.20009932007316,1.17626227768276,1.14618847274405,1.11332040886478,1.08207646057658,1.05432923824785,1.05315766133701,1.06758275366648,1.08726175825941,1.09789705714769,1.09257570526684,1.04083938112809,0.990290553260528,0.945841680289402,0.911769983065303,0.887598145252249,0.80327551510573,0.747336856633291,0.712181290409306,0.692843534445521,0.685591605508686,0.742010223346351,0.802584143950356,0.859847508836247,0.904703893728956,0.93336859946669,0.986990678326415,1.03467797621702,1.08500098484481,1.15654945602229,1.26440765501746
Argentina,ARG,8.19779018060756,8.27809486712554,8.35739892017807,8.43250549070146,8.50299601747787,8.60993224396758,8.69575074600566,8.76965635960953,8.84361437587637,8.92239228409538,9.03202031500348,9.14174952398387,9.24719969269456,9.34025996585382,9.4181778715333,9.50735528142555,9.58281372445557,9.64460730181206,9.69279586942991,9.72863692874253,9.78162367220297,9.81521319512,9.8382876143133,9.86149527491083,9.89137846155128,9.94200847353102,9.99532434682284,10.053879525431,10.1196958075121,10.1950246568397,10.2970075386309,10.4010145228393,10.5073415674413,10.6164006618491,10.728815712424,10.8599775767747,10.9897071133897,11.1177888760774,11.2431082719004,11.3665118336064
